_id,placeId,stationName,address,bussinessStatus,location,openingHours,rating,totalUserRating,__v
{'$oid': '66a7edf7e1403bd5f9c563a7'},ChIJU6hOz8zeNTERu9BqoXkiPgM,PVOIL NAM ĐỊNH CHXD CỘNG HOÀ,"Bối Thượng, Vụ Bản District, Nam Dinh, Vietnam",OPERATIONAL,"{'lat': 20.4006971, 'lng': 106.0646468}",Closed,4.4,29,0
{'$oid': '66a7edf7e1403bd5f9c563aa'},ChIJozJ7qSkHNjERMEH84QqCfBI,VinFast Charging Station,"7CFQ+H3, QL37B, Hoành Sơn, Giao Thuỷ, Nam Định, Vietnam",OPERATIONAL,"{'lat': 20.273891, 'lng': 106.437256}",Closed,5,1,0
{'$oid': '66a7ee21430db95ef69a8979'},ChIJPyiP7nnfNTERDpeyVCS94pQ,Lien Minh Oilfuel Store,"Km 13 QL10, Liêm Minh, Vụ Bản, Nam Định, Vietnam",OPERATIONAL,"{'lat': 20.3465045, 'lng': 106.1064242}",Closed,3.9,50,0
{'$oid': '66a7ee23430db95ef69a8983'},ChIJHTtUHgATNjER2k_kHjJS6_E,VinFast Charging Station,"45GJ+WMV, Dây Nhất, An Ninh, Nghĩa Hưng, Nam Định, Vietnam",OPERATIONAL,"{'lat': 20.1273156, 'lng': 106.1814824}",Closed,0,0,0
{'$oid': '66a7ee23430db95ef69a8986'},ChIJWbLEVPXbNTER0Mj4rSawTrs,My Loc Pvoil Station,"Km 12 QL21A, Mỹ Thuận, Mỹ Lộc, Nam Định, Vietnam",OPERATIONAL,"{'lat': 20.4539623, 'lng': 106.0642808}",Closed,4.3,42,0
{'$oid': '66a7eeb3892df53e71e5f8bc'},ChIJW97p4YwRNjERhsXmVHX6VVk,VinFast Charging Station,"Bãi gửi xe siêu thị Country Mart, xóm Hoành Sơn, QL21A, Hải Hậu, Nam Định, Vietnam",OPERATIONAL,"{'lat': 20.099167, 'lng': 106.277336}",Closed,5,1,0
{'$oid': '66a7efac3147785e8b320817'},ChIJEyApNwArdTER_o6dzl8KcSE,EV ONE Charging Station,"60 Tây Thạnh, Tân Phú, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8169056, 'lng': 106.6258175}",Open,5,2,0
{'$oid': '66a7efac3147785e8b32081a'},ChIJf6PqGmEpdTER_-mkZZx8x8w,VinFast Charging Station,"RM25+77Q, 15 Đ. Cộng Hòa, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.8008319, 'lng': 106.658184}",Open,4.5,43,0
{'$oid': '66a7efad3147785e8b32081d'},ChIJ2RAjI2UpdTERHG_XrRwbSsY,VinFast Charging Station,"45 Đ. Trần Thị Trọng, Phường 15, Tân Bình, Hồ Chí Minh 72100, Vietnam",OPERATIONAL,"{'lat': 10.8260518, 'lng': 106.6330876}",Open,1.5,8,0
{'$oid': '66a7efad3147785e8b320820'},ChIJ9WDEHwAvdTERFtO4Ce3xCwQ,EV ONE Charging Station,"157 Pasteur, Phường 6, Quận 3, Hồ Chí Minh 70000, Vietnam",OPERATIONAL,"{'lat': 10.7849461, 'lng': 106.6907757}",Open,0,0,0
{'$oid': '66a7efad3147785e8b320823'},ChIJxz5jqAMvdTERROBmMftUCak,VinFast Charging Station,"209 Đ. Nguyễn Văn Thủ, Đa Kao, Quận 1, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7868369, 'lng': 106.6961446}",Open,2.2,9,0
{'$oid': '66a7efae3147785e8b320826'},ChIJ-WYUFAAvdTERXQCUEh8JAqk,EV ONE Charging Station,"6B Đ. Tôn Đức Thắng, Bến Nghé, Quận 1, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7851687, 'lng': 106.7036219}",Closed,5,2,0
{'$oid': '66a7efae3147785e8b320829'},ChIJK_tW6ucvdTER6COhONAUsRw,VinFast Charging Station,"9 Đ. Đinh Tiên Hoàng, Đa Kao, Quận 1, Hồ Chí Minh, Vietnam",OPERATIONAL,"{'lat': 10.7878728, 'lng': 106.7001589}",Closed,4.3,12,0
{'$oid': '66a7efae3147785e8b32082c'},ChIJTabZ4kwvdTERbdLCMHAJs_g,Electric Vehicle Charging Station,"33 Đ. Lê Duẩn, Bến Nghé, Quận 1, Hồ Chí Minh 700000, Vietnam",OPERATIONAL,"{'lat': 10.7818032, 'lng': 106.7005726}",Open,5,2,0
